The singer kissed the guitarist.,0,NewStimuli/Illustrations/l_Kiss_Touch_Anim_Act_Can.png,1,Illustration,1,1,1,1,1,1,Touch,l_Kiss_Touch_Anim_Act_Can,Do both participants play string instruments?,5,10,2,Agent
The guitarist was kissed by the singer.,0,NewStimuli/Illustrations/l_Kiss_Touch_Anim_Pass_Can.png,1,Illustration,1,2,1,2,1,1,Touch,l_Kiss_Touch_Anim_Pass_Can,Does one participant use hands to perform?,5,10,1,Patient
Here's the singer who kissed the  guitarist.,0,NewStimuli/Illustrations/l_Kiss_Touch_Anim_Act_Rel.png,1,Illustration,1,1,2,3,1,1,Touch,l_Kiss_Touch_Anim_Act_Rel,0,0,0,,0
Here's the guitarist who was kissed by the singer.,0,NewStimuli/Illustrations/l_Kiss_Touch_Anim_Pass_Rel.png,1,Illustration,1,2,2,4,1,1,Touch,l_Kiss_Touch_Anim_Pass_Rel,Was there punching?,5,10,2,Event
The gravy touched the broccoli. ,0,NewStimuli/Illustrations/l_Touch_Touch_Inanim_Act_Can.png,1,Illustration,2,1,1,1,2,1,Touch,l_Touch_Touch_Inanim_Act_Can,Was there laughing?,5,10,2,Event
The broccoli was touched by the gravy.,0,NewStimuli/Illustrations/l_Touch_Touch_Inanim_Pass_Can.png,1,Illustration,2,2,1,2,2,1,Touch,l_Touch_Touch_Inanim_Pass_Can,Was the vegetable red?,5,10,2,Patient
Here's the gravy that touched the broccoli.,0,NewStimuli/Illustrations/l_Touch_Touch_Inanim_Act_Rel.png,1,Illustration,2,1,2,3,2,1,Touch,l_Touch_Touch_Inanim_Act_Rel,0,0,0,,0
Here's the broccoli that was touched by the gravy.,0,NewStimuli/Illustrations/l_Touch_Touch_Inanim_Pass_Rel.png,1,Illustration,2,2,2,4,2,1,Touch,l_Touch_Touch_Inanim_Pass_Rel,Was one object a kind of sauce?,5,10,1,Agent
The goalie kicked the referee.,0,NewStimuli/Illustrations/l_Kick_Impact_Anim_Act_Can.png,1,Illustration,3,1,1,1,1,2,Contact by impact,l_Kick_Impact_Anim_Act_Can,Was at least one participant an athlete?,5,10,1,Agent
The referee was kicked by the goalie.,0,NewStimuli/Illustrations/l_Kick_Impact_Anim_Pass_Can.png,1,Illustration,3,2,1,2,1,2,Contact by impact,l_Kick_Impact_Anim_Pass_Can,0,0,0,,0
Here's the goalie who kicked the referee.,0,NewStimuli/Illustrations/l_Kick_Impact_Anim_Act_Rel.png,1,Illustration,3,1,2,3,1,2,Contact by impact,l_Kick_Impact_Anim_Act_Rel,Was there eating?,5,10,2,Event
Here's the referee who was kicked by the goalie.,0,NewStimuli/Illustrations/l_Kick_Impact_Anim_Pass_Rel.png,1,Illustration,3,2,2,4,1,2,Contact by impact,l_Kick_Impact_Anim_Pass_Rel,Was the victim a teammate?,5,10,2,Patient
The bus hit the truck.,0,NewStimuli/Illustrations/l_Hit_Impact_Inanim_Act_Can.png,1,Illustration,4,1,1,1,2,2,Contact by impact,l_Hit_Impact_Inanim_Act_Can,Was at least one vehicle impacted?,5,10,1,Patient
The truck was hit by the bus.,0,NewStimuli/Illustrations/l_Hit_Impact_Inanim_Pass_Can.png,1,Illustration,4,2,1,2,2,2,Contact by impact,l_Hit_Impact_Inanim_Pass_Can,Was there an accident?,5,10,1,Event
Here's the bus that hit the truck.,0,NewStimuli/Illustrations/l_Hit_Impact_Inanim_Act_Rel.png,1,Illustration,4,1,2,3,2,2,Contact by impact,l_Hit_Impact_Inanim_Act_Rel,0,0,0,,0
Here's the truck that was hit by the bus.,0,NewStimuli/Illustrations/l_Hit_Impact_Inanim_Pass_Rel.png,1,Illustration,4,2,2,4,2,2,Contact by impact,l_Hit_Impact_Inanim_Pass_Rel,Did the impact come from a bicycle?,5,10,2,Agent
The woman consoled the man. ,0,NewStimuli/Illustrations/l_Console_Psych_Anim_Act_Can.png,1,Illustration,5,1,1,1,1,3,Psych verb,l_Console_Psych_Anim_Act_Can,0,0,0,,0
The man was consoled by the woman.,0,NewStimuli/Illustrations/l_Console_Psych_Anim_Pass_Can.png,1,Illustration,5,2,1,2,1,3,Psych verb,l_Console_Psych_Anim_Pass_Can,Was at least one participant female?,5,10,1,Agent
Here's the woman who consoled the man.,0,NewStimuli/Illustrations/l_Console_Psych_Anim_Act_Rel.png,1,Illustration,5,1,2,3,1,3,Psych verb,l_Console_Psych_Anim_Act_Rel,Did someone try to help?,5,10,1,Event
Here's the man who was consoled by the woman.,0,NewStimuli/Illustrations/l_Console_Psych_Anim_Pass_Rel.png,1,Illustration,5,2,2,4,1,3,Psych verb,l_Console_Psych_Anim_Pass_Rel,Were both participants happy?,5,10,2,Patient
The tree crushed the car.,0,NewStimuli/Illustrations/l_Crush_Psych_Inanim_Act_Can.png,1,Illustration,6,1,1,1,2,3,Psych verb,l_Crush_Psych_Inanim_Act_Can,Is the heavy machine intact?,5,10,2,Patient
The car was crushed by the tree.,0,NewStimuli/Illustrations/l_Crush_Psych_Inanim_Pass_Can.png,1,Illustration,6,2,1,2,2,3,Psych verb,l_Crush_Psych_Inanim_Pass_Can,0,0,0,,0
Here's the tree that crushed the car.,0,NewStimuli/Illustrations/l_Crush_Psych_Inanim_Act_Rel.png,1,Illustration,6,1,2,3,2,3,Psych verb,l_Crush_Psych_Inanim_Act_Rel,Was at least one vehicle moving?,5,10,1,Agent
Here's the car that was crushed by the tree.,0,NewStimuli/Illustrations/l_Crush_Psych_Inanim_Pass_Rel.png,1,Illustration,6,2,2,4,2,3,Psych verb,l_Crush_Psych_Inanim_Pass_Rel,Was there impact?,5,10,1,Event
The trainer stretched the dancer.,0,NewStimuli/Illustrations/l_Stretch_ChState_Anim_Act_Can.png,1,Illustration,7,1,1,1,1,4,Change of state,l_Stretch_ChState_Anim_Act_Can,Was there helping?,5,10,1,Event
The dancer was stretched by the trainer.,0,NewStimuli/Illustrations/l_Stretch_ChState_Anim_Pass_Can.png,1,Illustration,7,2,1,2,1,4,Change of state,l_Stretch_ChState_Anim_Pass_Can,Was one object made of cardboard?,5,10,2,Agent
Here's the trainer who stretched the dancer.,0,NewStimuli/Illustrations/l_Stretch_ChState_Anim_Act_Rel.png,1,Illustration,7,1,2,3,1,4,Change of state,l_Stretch_ChState_Anim_Act_Rel,Does the performer use their body to perform?,5,10,1,Patient
Here's the dancer who was stretched by the trainer.,0,NewStimuli/Illustrations/l_Stretch_ChState_Anim_Pass_Rel.png,1,Illustration,7,2,2,4,1,4,Change of state,l_Stretch_ChState_Anim_Pass_Rel,0,0,0,,0
The candle lit the match.,0,NewStimuli/Illustrations/l_Light_ChState_Inanim_Act_Can.png,1,Illustration,8,1,1,1,2,4,Change of state,l_Light_ChState_Inanim_Act_Can,0,0,0,,0
The match was lit by the candle.,0,NewStimuli/Illustrations/l_Light_ChState_Inanim_Pass_Can.png,1,Illustration,8,2,1,2,2,4,Change of state,l_Light_ChState_Inanim_Pass_Can,Was something poked?,5,10,2,Event
Here's the candle that lit the match.,0,NewStimuli/Illustrations/l_Light_ChState_Inanim_Act_Rel.png,1,Illustration,8,1,2,3,2,4,Change of state,l_Light_ChState_Inanim_Act_Rel,Are both things reusable now?,5,10,2,Agent
Here's the match that was lit by the candle.,0,NewStimuli/Illustrations/l_Light_ChState_Inanim_Pass_Rel.png,1,Illustration,8,2,2,4,2,4,Change of state,l_Light_ChState_Inanim_Pass_Rel,Was one participant made of wax?,5,10,1,Patient
